"","N","N_pos","mid_age","name"
"1",1,0,1,"Kali Deres, IND [50]"
"2",7,2,2,"Kali Deres, IND [50]"
"3",7,1,3,"Kali Deres, IND [50]"
"4",7,1,4,"Kali Deres, IND [50]"
"5",2,0,5,"Kali Deres, IND [50]"
"6",11,7,6,"Kali Deres, IND [50]"
"7",4,3,7,"Kali Deres, IND [50]"
"8",6,2,8,"Kali Deres, IND [50]"
"9",7,4,9,"Kali Deres, IND [50]"
"10",9,9,10,"Kali Deres, IND [50]"
"11",10,9,11,"Kali Deres, IND [50]"
"12",1,1,13,"Kali Deres, IND [50]"
"13",9,8,14,"Kali Deres, IND [50]"
"14",12,11,15,"Kali Deres, IND [50]"
"15",6,6,16,"Kali Deres, IND [50]"
"16",8,7,17,"Kali Deres, IND [50]"
"17",5,4,1,"Gunung Putri, IND [50]"
"18",5,5,2,"Gunung Putri, IND [50]"
"19",4,3,3,"Gunung Putri, IND [50]"
"20",8,4,4,"Gunung Putri, IND [50]"
"21",5,2,5,"Gunung Putri, IND [50]"
"22",4,3,6,"Gunung Putri, IND [50]"
"23",12,7,7,"Gunung Putri, IND [50]"
"24",5,5,8,"Gunung Putri, IND [50]"
"25",3,3,9,"Gunung Putri, IND [50]"
"26",6,3,10,"Gunung Putri, IND [50]"
"27",3,1,11,"Gunung Putri, IND [50]"
"28",4,4,12,"Gunung Putri, IND [50]"
"29",6,5,13,"Gunung Putri, IND [50]"
"30",11,10,14,"Gunung Putri, IND [50]"
"31",13,12,15,"Gunung Putri, IND [50]"
"32",8,8,16,"Gunung Putri, IND [50]"
"33",1,1,17,"Gunung Putri, IND [50]"
"34",4,4,18,"Gunung Putri, IND [50]"
"35",3,1,1,"Banjaran, IND [50]"
"36",5,3,2,"Banjaran, IND [50]"
"37",9,3,3,"Banjaran, IND [50]"
"38",5,1,4,"Banjaran, IND [50]"
"39",7,2,5,"Banjaran, IND [50]"
"40",6,6,6,"Banjaran, IND [50]"
"41",7,3,7,"Banjaran, IND [50]"
"42",6,2,8,"Banjaran, IND [50]"
"43",3,2,9,"Banjaran, IND [50]"
"44",9,5,10,"Banjaran, IND [50]"
"45",7,7,11,"Banjaran, IND [50]"
"46",5,3,12,"Banjaran, IND [50]"
"47",6,6,13,"Banjaran, IND [50]"
"48",4,3,14,"Banjaran, IND [50]"
"49",5,5,15,"Banjaran, IND [50]"
"50",10,9,16,"Banjaran, IND [50]"
"51",8,5,17,"Banjaran, IND [50]"
"52",2,2,18,"Banjaran, IND [50]"
"53",7,1,1,"Gunung Sari, IND [50]"
"54",8,2,2,"Gunung Sari, IND [50]"
"55",5,0,3,"Gunung Sari, IND [50]"
"56",8,5,4,"Gunung Sari, IND [50]"
"57",9,4,5,"Gunung Sari, IND [50]"
"58",1,1,6,"Gunung Sari, IND [50]"
"59",8,7,7,"Gunung Sari, IND [50]"
"60",4,3,8,"Gunung Sari, IND [50]"
"61",5,4,9,"Gunung Sari, IND [50]"
"62",4,3,10,"Gunung Sari, IND [50]"
"63",6,6,11,"Gunung Sari, IND [50]"
"64",11,11,12,"Gunung Sari, IND [50]"
"65",2,2,13,"Gunung Sari, IND [50]"
"66",8,8,14,"Gunung Sari, IND [50]"
"67",8,8,15,"Gunung Sari, IND [50]"
"68",4,4,16,"Gunung Sari, IND [50]"
"69",7,7,17,"Gunung Sari, IND [50]"
"70",2,2,18,"Gunung Sari, IND [50]"
"71",1,0,1,"Cikarang Utara, IND [50]"
"72",6,2,2,"Cikarang Utara, IND [50]"
"73",7,2,3,"Cikarang Utara, IND [50]"
"74",8,2,4,"Cikarang Utara, IND [50]"
"75",5,1,5,"Cikarang Utara, IND [50]"
"76",5,5,6,"Cikarang Utara, IND [50]"
"77",4,4,7,"Cikarang Utara, IND [50]"
"78",3,3,8,"Cikarang Utara, IND [50]"
"79",10,10,9,"Cikarang Utara, IND [50]"
"80",8,8,10,"Cikarang Utara, IND [50]"
"81",3,3,11,"Cikarang Utara, IND [50]"
"82",7,7,12,"Cikarang Utara, IND [50]"
