N,number people tested,N_pos,city,name
21,17,1,Ambovombe,MDG [56]
21,15,0,Ambatondrazaka,MDG [56]
21,13,1,Antsohihy,MDG [56]
21,16,0,Anjozorobe,MDG [56]
21,10,0,Antsirabe,MDG [56]
21,14,1,Belo,MDG [56]
21,13,1,Ambato-Boeny,MDG [56]
21,10,0,Ambositra,MDG [56]
21,16,0,Antananarivo-Renivohitra,MDG [56]
21,10,0,Antsiranana,MDG [56]
21,20,0,Ampanihy,MDG [56]
21,18,0,Farafangana,MDG [56]
21,11,0,Fianarantsoa,MDG [56]
21,14,0,Ihosy,MDG [56]
21,14,0,Maevatanana,MDG [56]
21,17,0,Mandritsara,MDG [56]
21,17,1,Morondava,MDG [56]
21,8,0,Miandrivazo,MDG [56]
21,11,1,Mahajanga,MDG [56]
21,12,4,Mananjary,MDG [56]
21,16,1,Morombe,MDG [56]
21,11,1,Moramanga,MDG [56]
21,12,4,Nosy-Be,MDG [56]
21,12,0,Sambava,MDG [56]
21,20,0,Tsiroanomandidy,MDG [56]
21,13,1,Taolagnaro,MDG [56]
21,16,9,Toamasina,MDG [56]
21,12,0,Toliary,MDG [56]
29.5,13,0,Ambovombe,MDG [56]
29.5,13,0,Ambatondrazaka,MDG [56]
29.5,16,1,Antsohihy,MDG [56]
29.5,12,0,Anjozorobe,MDG [56]
29.5,10,0,Antsirabe,MDG [56]
29.5,19,1,Belo,MDG [56]
29.5,10,0,Ambato-Boeny,MDG [56]
29.5,16,0,Ambositra,MDG [56]
29.5,18,0,Antananarivo-Renivohitra,MDG [56]
29.5,24,4,Antsiranana,MDG [56]
29.5,14,0,Ampanihy,MDG [56]
29.5,11,1,Farafangana,MDG [56]
29.5,16,0,Fianarantsoa,MDG [56]
29.5,17,1,Ihosy,MDG [56]
29.5,22,0,Maevatanana,MDG [56]
29.5,12,0,Mandritsara,MDG [56]
29.5,17,1,Morondava,MDG [56]
29.5,22,0,Miandrivazo,MDG [56]
29.5,15,0,Mahajanga,MDG [56]
29.5,11,2,Mananjary,MDG [56]
29.5,16,0,Morombe,MDG [56]
29.5,11,0,Moramanga,MDG [56]
29.5,12,7,Nosy-Be,MDG [56]
29.5,18,0,Sambava,MDG [56]
29.5,14,0,Tsiroanomandidy,MDG [56]
29.5,17,1,Taolagnaro,MDG [56]
29.5,18,8,Toamasina,MDG [56]
29.5,20,1,Toliary,MDG [56]
34.5,15,1,Ambovombe,MDG [56]
34.5,10,0,Ambatondrazaka,MDG [56]
34.5,13,1,Antsohihy,MDG [56]
34.5,14,0,Anjozorobe,MDG [56]
34.5,16,0,Antsirabe,MDG [56]
34.5,11,0,Belo,MDG [56]
34.5,20,1,Ambato-Boeny,MDG [56]
34.5,14,0,Ambositra,MDG [56]
34.5,9,0,Antananarivo-Renivohitra,MDG [56]
34.5,8,0,Antsiranana,MDG [56]
34.5,9,0,Ampanihy,MDG [56]
34.5,15,2,Farafangana,MDG [56]
34.5,11,0,Fianarantsoa,MDG [56]
34.5,13,0,Ihosy,MDG [56]
34.5,7,0,Maevatanana,MDG [56]
34.5,9,0,Mandritsara,MDG [56]
34.5,11,0,Morondava,MDG [56]
34.5,16,0,Miandrivazo,MDG [56]
34.5,16,0,Mahajanga,MDG [56]
34.5,13,1,Mananjary,MDG [56]
34.5,15,0,Morombe,MDG [56]
34.5,17,1,Moramanga,MDG [56]
34.5,14,6,Nosy-Be,MDG [56]
34.5,12,0,Sambava,MDG [56]
34.5,11,1,Tsiroanomandidy,MDG [56]
34.5,14,2,Taolagnaro,MDG [56]
34.5,13,6,Toamasina,MDG [56]
34.5,14,1,Toliary,MDG [56]
62.5,15,0,Ambovombe,MDG [56]
62.5,22,1,Ambatondrazaka,MDG [56]
62.5,18,1,Antsohihy,MDG [56]
62.5,18,0,Anjozorobe,MDG [56]
62.5,24,0,Antsirabe,MDG [56]
62.5,16,1,Belo,MDG [56]
62.5,17,2,Ambato-Boeny,MDG [56]
62.5,20,0,Ambositra,MDG [56]
62.5,17,1,Antananarivo-Renivohitra,MDG [56]
62.5,18,3,Antsiranana,MDG [56]
62.5,17,0,Ampanihy,MDG [56]
62.5,16,1,Farafangana,MDG [56]
62.5,22,0,Fianarantsoa,MDG [56]
62.5,16,2,Ihosy,MDG [56]
62.5,17,0,Maevatanana,MDG [56]
62.5,22,0,Mandritsara,MDG [56]
62.5,15,1,Morondava,MDG [56]
62.5,14,1,Miandrivazo,MDG [56]
62.5,18,0,Mahajanga,MDG [56]
62.5,24,2,Mananjary,MDG [56]
62.5,13,0,Morombe,MDG [56]
62.5,21,0,Moramanga,MDG [56]
62.5,22,12,Nosy-Be,MDG [56]
62.5,18,1,Sambava,MDG [56]
62.5,15,1,Tsiroanomandidy,MDG [56]
62.5,16,0,Taolagnaro,MDG [56]
62.5,13,3,Toamasina,MDG [56]
62.5,14,0,Toliary,MDG [56]
