,mid_age,N,N_pos,City,name
1,13,3,0,Ensenada,MEX [63]
2,14,1,0,Ensenada,MEX [63]
3,15,3,0,Ensenada,MEX [63]
4,16,1,0,Ensenada,MEX [63]
5,12,6,0,Mexicali,MEX [63]
6,13,8,1,Mexicali,MEX [63]
7,14,2,0,Mexicali,MEX [63]
8,15,2,0,Mexicali,MEX [63]
9,16,1,0,Mexicali,MEX [63]
10,6,2,0,Tijuana,MEX [63]
11,7,9,0,Tijuana,MEX [63]
12,8,8,0,Tijuana,MEX [63]
13,9,3,0,Tijuana,MEX [63]
14,10,6,0,Tijuana,MEX [63]
15,11,5,0,Tijuana,MEX [63]
16,12,2,1,Tijuana,MEX [63]
17,14,4,0,Tijuana,MEX [63]
18,15,2,0,Tijuana,MEX [63]
19,7,1,1,La Paz,MEX [63]
20,8,1,0,La Paz,MEX [63]
21,12,6,3,San Jose del Cabo,MEX [63]
22,13,5,2,San Jose del Cabo,MEX [63]
23,14,8,4,San Jose del Cabo,MEX [63]
24,15,2,1,San Jose del Cabo,MEX [63]
25,6,3,1,Ciudad del Carmen,MEX [63]
26,7,1,1,Ciudad del Carmen,MEX [63]
27,8,2,0,Ciudad del Carmen,MEX [63]
28,9,4,4,Ciudad del Carmen,MEX [63]
29,10,7,3,Ciudad del Carmen,MEX [63]
30,11,6,4,Ciudad del Carmen,MEX [63]
31,12,2,1,Ciudad del Carmen,MEX [63]
32,12,3,2,San Francisco de Campeche,MEX [63]
33,13,2,2,San Francisco de Campeche,MEX [63]
34,14,11,9,San Francisco de Campeche,MEX [63]
35,15,10,10,San Francisco de Campeche,MEX [63]
36,16,1,1,San Francisco de Campeche,MEX [63]
37,17,1,1,San Francisco de Campeche,MEX [63]
38,12,1,1,Huixtla,MEX [63]
39,13,3,3,Huixtla,MEX [63]
40,14,3,3,Huixtla,MEX [63]
41,15,1,1,Huixtla,MEX [63]
42,17,1,1,Huixtla,MEX [63]
43,5,1,1,Mapastepec,MEX [63]
44,6,8,7,Mapastepec,MEX [63]
45,7,7,7,Mapastepec,MEX [63]
46,8,8,8,Mapastepec,MEX [63]
47,9,12,11,Mapastepec,MEX [63]
48,10,13,13,Mapastepec,MEX [63]
49,11,15,15,Mapastepec,MEX [63]
50,12,7,7,Mapastepec,MEX [63]
51,5,1,1,Tapachula,MEX [63]
52,6,12,10,Tapachula,MEX [63]
53,7,6,5,Tapachula,MEX [63]
54,8,20,18,Tapachula,MEX [63]
55,9,11,10,Tapachula,MEX [63]
56,10,9,8,Tapachula,MEX [63]
57,11,10,10,Tapachula,MEX [63]
58,12,6,5,Tapachula,MEX [63]
59,7,2,1,Tuxtla Gutierrez,MEX [63]
60,8,1,1,Tuxtla Gutierrez,MEX [63]
61,9,3,3,Tuxtla Gutierrez,MEX [63]
62,10,1,1,Tuxtla Gutierrez,MEX [63]
