"","N","N_pos","mid_age","name"
"1",94,86,7,"Chennai, IND [41]"
"2",111,101,12,"Chennai, IND [41]"
"3",111,101,17,"Chennai, IND [41]"
"4",222,208,24.5,"Chennai, IND [41]"
"5",262,248,35,"Chennai, IND [41]"
"6",450,29,7.5,"Cana de Azucar, VEN [85]"
"7",408,45,13,"Cana de Azucar, VEN [85]"
"8",389,57,18,"Cana de Azucar, VEN [85]"
"9",342,37,23,"Cana de Azucar, VEN [85]"
"10",413,33,28,"Cana de Azucar, VEN [85]"
"11",27,20,3.5,"Gressier, HTI [38]"
"12",194,127,8,"Gressier, HTI [38]"
"13",188,155,12,"Gressier, HTI [38]"
"14",95,74,15.5,"Gressier, HTI [38]"
"15",96,61,19.5,"Gressier, HTI [38]"
"16",27,19,26,"Gressier, HTI [38]"
"17",27,18,40,"Gressier, HTI [38]"
"18",19,11,71,"Gressier, HTI [38]"
"19",185,81,12.5,"Zanzibar, TZA [81]"
"20",171,115,30.5,"Zanzibar, TZA [81]"
"21",144,57,66,"Zanzibar, TZA [81]"
"22",17,8,9.5,"Bangladesh, BGD [21]"
"23",315,114,24.5,"Bangladesh, BGD [21]"
"24",144,52,34.5,"Bangladesh, BGD [21]"
"25",26,8,44.5,"Bangladesh, BGD [21]"
"26",5,1,55,"Bangladesh, BGD [21]"
"27",202,11,23.5,"Singapore, SGP [71]"
"28",207,5,34.5,"Singapore, SGP [71]"
"29",222,4,44.5,"Singapore, SGP [71]"
"30",208,3,54.5,"Singapore, SGP [71]"
"31",103,1,64.5,"Singapore, SGP [71]"
"32",58,1,74.5,"Singapore, SGP [71]"
