serop,mid_age,name
0.397,5,"Fortaleza, BRA [24]"
0.542,6,"Fortaleza, BRA [24]"
0.449,7,"Fortaleza, BRA [24]"
0.584,8,"Fortaleza, BRA [24]"
0.5,9,"Fortaleza, BRA [24]"
0.516,10,"Fortaleza, BRA [24]"
0.686,11,"Fortaleza, BRA [24]"
0.613,12,"Fortaleza, BRA [24]"
0.794,13,"Fortaleza, BRA [24]"
0.564705882,6,"Taihiti, PYF [36]"
0.452941176,7,"Taihiti, PYF [36]"
0.435294118,8,"Taihiti, PYF [36]"
0.564705882,9,"Taihiti, PYF [36]"
0.558823529,10,"Taihiti, PYF [36]"
0.576470588,11,"Taihiti, PYF [36]"
0.617647059,12,"Taihiti, PYF [36]"
0.8,13,"Taihiti, PYF [36]"
0.641176471,14,"Taihiti, PYF [36]"
0.688235294,15,"Taihiti, PYF [36]"
0.888235294,16,"Taihiti, PYF [36]"
0.018472122,0.5,"Kilifi, KEN [53]"
0.08095852,1,"Kilifi, KEN [53]"
0.105000761,2,"Kilifi, KEN [53]"
0.198608619,3,"Kilifi, KEN [53]"
0.239122333,4,"Kilifi, KEN [53]"
0.248514587,5,"Kilifi, KEN [53]"
0.285380735,6,"Kilifi, KEN [53]"
0.357025097,7,"Kilifi, KEN [53]"
0.34993669,8,"Kilifi, KEN [53]"
0.403283499,9,"Kilifi, KEN [53]"
0.405353057,10,"Kilifi, KEN [53]"
0.35250239,11,"Kilifi, KEN [53]"
0.405840011,12,"Kilifi, KEN [53]"
0.367639332,13,"Kilifi, KEN [53]"
0.360560113,14,"Kilifi, KEN [53]"
0.379110331,15,"Kilifi, KEN [53]"
0.528,8,"French Guiana, GUF [35]"
0.769,19.5,"French Guiana, GUF [35]"
0.776,29.5,"French Guiana, GUF [35]"
0.791,39.5,"French Guiana, GUF [35]"
0.862,49.5,"French Guiana, GUF [35]"
0.856,59.5,"French Guiana, GUF [35]"
0.905,82.5,"French Guiana, GUF [35]"
