,DENV2,DENV3,DENV4,DENV1,mid_age,name
1,0.214765101,0.454138702,0.360178971,0.319910515,7,"Iquitos, PER [68]"
2,0.382550336,0.568232662,0.429530201,0.579418345,12,"Iquitos, PER [68]"
3,0.760626398,0.689038031,0.498881432,0.812080537,17,"Iquitos, PER [68]"
4,0.861297539,0.760626398,0.416107383,0.89261745,22,"Iquitos, PER [68]"
5,0.850111857,0.736017897,0.351230425,0.917225951,27,"Iquitos, PER [68]"
6,0.939597315,0.715883669,0.362416107,0.96196868,32,"Iquitos, PER [68]"
7,0.93064877,0.659955257,0.353467562,0.944071588,37,"Iquitos, PER [68]"
8,0.919463087,0.677852349,0.357941834,0.964205817,42,"Iquitos, PER [68]"
9,0.876957494,0.738255034,0.4049217,0.964205817,47,"Iquitos, PER [68]"
10,0.888143177,0.689038031,0.362416107,0.970917226,52,"Iquitos, PER [68]"
11,0.856823266,0.682326622,0.398210291,0.950782998,57,"Iquitos, PER [68]"
12,0.903803132,0.751677852,0.438478747,0.966442953,80,"Iquitos, PER [68]"
13,0.008,0.008,0,0.204,8.5,"Xay, LAO [55]"
14,0.018,0,0.004,0.128,15.5,"Xay, LAO [55]"
15,0.026,0.004,0.004,0.162,27,"Xay, LAO [55]"
16,0.042,0.014,0.014,0.093,42,"Xay, LAO [55]"
17,0.018,0.018,0.018,0.065,75,"Xay, LAO [55]"
